id	Desplazamiento	Velocidad	Aceleracion
0.00000	0.00000	0.00000	0.00000	
0.01000	0.00000	0.00031	0.06253	
0.02000	0.00001	0.00125	0.12418	
0.03000	0.00003	0.00279	0.18446	
0.04000	0.00007	0.00493	0.24291	
0.05000	0.00013	0.00764	0.29905	
0.06000	0.00022	0.01089	0.35245	
0.07000	0.00035	0.01467	0.40269	
0.08000	0.00052	0.01893	0.44936	
0.09000	0.00073	0.02364	0.49207	
0.10000	0.00099	0.02875	0.53047	
0.11000	0.00131	0.03422	0.56424	
0.12000	0.00168	0.04001	0.59308	
0.13000	0.00211	0.04606	0.61671	
0.14000	0.00260	0.05232	0.63490	
0.15000	0.00316	0.05873	0.64746	
0.16000	0.00378	0.06524	0.65421	
0.17000	0.00446	0.07178	0.65503	
0.18000	0.00521	0.07831	0.64982	
0.19000	0.00603	0.08475	0.63854	
0.20000	0.00691	0.09105	0.62116	
0.21000	0.00785	0.09714	0.59771	
0.22000	0.00885	0.10297	0.56825	
0.23000	0.00991	0.10848	0.53288	
0.24000	0.01102	0.11360	0.49174	
0.25000	0.01218	0.11828	0.44500	
0.26000	0.01338	0.12247	0.39287	
0.27000	0.01462	0.12612	0.33560	
0.28000	0.01590	0.12916	0.27347	
0.29000	0.01720	0.13156	0.20679	
0.30000	0.01853	0.13328	0.13591	
0.31000	0.01986	0.13426	0.06120	
0.32000	0.02121	0.13448	-0.01694	
0.33000	0.02255	0.13391	-0.09807	
0.34000	0.02388	0.13251	-0.18176	
0.35000	0.02520	0.13026	-0.26753	
0.36000	0.02648	0.12715	-0.35489	
0.37000	0.02773	0.12316	-0.44334	
0.38000	0.02894	0.11828	-0.53235	
0.39000	0.03010	0.11251	-0.62140	
0.40000	0.03119	0.10585	-0.70996	
0.41000	0.03221	0.09832	-0.79749	
0.42000	0.03315	0.08991	-0.88344	
0.43000	0.03400	0.08066	-0.96727	
0.44000	0.03476	0.07058	-1.04844	
0.45000	0.03541	0.05971	-1.12644	
0.46000	0.03595	0.04807	-1.20073	
0.47000	0.03637	0.03571	-1.27081	
0.48000	0.03666	0.02268	-1.33619	
0.49000	0.03682	0.00902	-1.39641	
0.50000	0.03684	-0.00522	-1.45100	
0.51000	0.03671	-0.01997	-1.49955	
0.52000	0.03644	-0.03518	-1.54165	
0.53000	0.03601	-0.05077	-1.57693	
0.54000	0.03542	-0.06668	-1.60506	
0.55000	0.03467	-0.08284	-1.62572	
