id	Desplazamiento	Velocidad	Aceleracion
0.000000	0.000000	0.000000	0.000000	
0.010000	0.000001	0.000314	0.062552	
0.020000	0.000008	0.001249	0.124220	
0.030000	0.000028	0.002794	0.184520	
0.040000	0.000066	0.004934	0.242981	
0.050000	0.000129	0.007646	0.299145	
0.060000	0.000221	0.010907	0.352567	
0.070000	0.000349	0.014685	0.402824	
0.080000	0.000516	0.018949	0.449510	
0.090000	0.000729	0.023659	0.492246	
0.100000	0.000991	0.028776	0.530676	
0.110000	0.001306	0.034253	0.564471	
0.120000	0.001677	0.040043	0.593335	
0.130000	0.002108	0.046095	0.616997	
0.140000	0.002600	0.052357	0.635226	
0.150000	0.003156	0.058772	0.647819	
0.160000	0.003776	0.065283	0.654611	
0.170000	0.004462	0.071832	0.655474	
0.180000	0.005213	0.078358	0.650316	
0.190000	0.006029	0.084802	0.639083	
0.200000	0.006909	0.091102	0.621759	
0.210000	0.007850	0.097197	0.598368	
0.220000	0.008852	0.103027	0.568971	
0.230000	0.009910	0.108533	0.533668	
0.240000	0.011021	0.113655	0.492595	
0.250000	0.012182	0.118338	0.445927	
0.260000	0.013387	0.122525	0.393876	
0.270000	0.014631	0.126165	0.336687	
0.280000	0.015908	0.129207	0.274641	
0.290000	0.017213	0.131604	0.208051	
0.300000	0.018538	0.133313	0.137261	
0.310000	0.019877	0.134293	0.062645	
0.320000	0.021222	0.134508	-0.015396	
0.330000	0.022565	0.133926	-0.096435	
0.340000	0.023898	0.132520	-0.180025	
0.350000	0.025213	0.130265	-0.265693	
0.360000	0.026500	0.127144	-0.352952	
0.370000	0.027753	0.123144	-0.441297	
0.380000	0.028960	0.118255	-0.530211	
0.390000	0.030115	0.112476	-0.619166	
0.400000	0.031207	0.105809	-0.707627	
0.410000	0.032228	0.098260	-0.795055	
0.420000	0.033170	0.089844	-0.880909	
0.430000	0.034023	0.080579	-0.964648	
0.440000	0.034779	0.070489	-1.045737	
0.450000	0.035430	0.059602	-1.123646	
0.460000	0.035968	0.047955	-1.197859	
0.470000	0.036387	0.035585	-1.267869	
0.480000	0.036678	0.022538	-1.333186	
0.490000	0.036835	0.008864	-1.393341	
0.500000	0.036853	-0.005384	-1.447883	
0.510000	0.036726	-0.020148	-1.496386	
0.520000	0.036449	-0.035364	-1.538452	
0.530000	0.036017	-0.050967	-1.573709	
0.540000	0.035428	-0.066886	-1.601820	
0.550000	0.034679	-0.083048	-1.622476	
0.560000	0.033767	-0.099377	-1.635408	
0.570000	0.032691	-0.115795	-1.640381	
0.580000	0.031451	-0.132221	-1.637198	
0.590000	0.030047	-0.148571	-1.625705	
0.600000	0.028480	-0.164764	-1.605786	
0.610000	0.026752	-0.180712	-1.577369	
0.620000	0.024867	-0.196332	-1.540424	
0.630000	0.022827	-0.211538	-1.494966	
