id	Desplazamiento	Velocidad	Aceleracion
0.000000	0.000000	0.000000	-0.018667	
0.010000	0.000001	0.000313	0.062552	
0.020000	0.000008	0.001248	0.124220	
0.030000	0.000028	0.002793	0.184519	
0.040000	0.000066	0.004932	0.242978	
0.050000	0.000129	0.007645	0.299137	
0.060000	0.000221	0.010906	0.352551	
0.070000	0.000348	0.014685	0.402796	
0.080000	0.000516	0.018950	0.449467	
0.090000	0.000729	0.023662	0.492183	
0.100000	0.000991	0.028779	0.530587	
0.110000	0.001306	0.034258	0.564352	
0.120000	0.001677	0.040050	0.593177	
0.130000	0.002108	0.046104	0.616796	
0.140000	0.002600	0.052368	0.634974	
0.150000	0.003155	0.058785	0.647509	
0.160000	0.003776	0.065298	0.654237	
0.170000	0.004462	0.071850	0.655028	
0.180000	0.005213	0.078379	0.649790	
0.190000	0.006029	0.084825	0.638470	
0.200000	0.006909	0.091128	0.621053	
0.210000	0.007851	0.097226	0.597560	
0.220000	0.008852	0.103059	0.568055	
0.230000	0.009911	0.108567	0.532637	
0.240000	0.011022	0.113692	0.491443	
0.250000	0.012183	0.118378	0.444648	
0.260000	0.013388	0.122567	0.392464	
0.270000	0.014633	0.126210	0.335138	
0.280000	0.015911	0.129254	0.272951	
0.290000	0.017216	0.131654	0.206216	
0.300000	0.018541	0.133364	0.135279	
0.310000	0.019881	0.134346	0.060513	
0.320000	0.021226	0.134563	-0.017679	
0.330000	0.022569	0.133983	-0.098870	
0.340000	0.023903	0.132577	-0.182610	
0.350000	0.025218	0.130324	-0.268428	
0.360000	0.026506	0.127203	-0.355834	
0.370000	0.027759	0.123203	-0.444322	
0.380000	0.028967	0.118315	-0.533376	
0.390000	0.030122	0.112536	-0.622465	
0.400000	0.031215	0.105867	-0.711054	
0.410000	0.032237	0.098318	-0.798603	
0.420000	0.033179	0.089901	-0.884568	
0.430000	0.034032	0.080634	-0.968410	
0.440000	0.034788	0.070541	-1.049591	
0.450000	0.035440	0.059653	-1.127582	
0.460000	0.035979	0.048002	-1.201863	
0.470000	0.036398	0.035629	-1.271929	
0.480000	0.036689	0.022579	-1.337289	
0.490000	0.036847	0.008901	-1.397471	
0.500000	0.036865	-0.005351	-1.452025	
0.510000	0.036738	-0.020119	-1.500525	
0.520000	0.036461	-0.035340	-1.542570	
0.530000	0.036030	-0.050948	-1.577791	
0.540000	0.035441	-0.066872	-1.605846	
0.550000	0.034692	-0.083040	-1.626430	
0.560000	0.033780	-0.099375	-1.639271	
0.570000	0.032704	-0.115799	-1.644134	
0.580000	0.031464	-0.132231	-1.640824	
0.590000	0.030060	-0.148588	-1.629185	
0.600000	0.028493	-0.164786	-1.609101	
0.610000	0.026765	-0.180741	-1.580501	
0.620000	0.024879	-0.196368	-1.543356	
0.630000	0.022839	-0.211580	-1.497678	
0.640000	0.020649	-0.226293	-1.443528	
0.650000	0.018315	-0.240423	-1.381007	
0.660000	0.015843	-0.253886	-1.310263	
0.670000	0.013240	-0.266601	-1.231487	
0.680000	0.010514	-0.278489	-1.144913	
0.690000	0.007673	-0.289474	-1.050818	
0.700000	0.004728	-0.299482	-0.949521	
0.710000	0.001687	-0.308442	-0.841383	
0.720000	-0.001438	-0.316288	-0.726803	
0.730000	-0.004635	-0.322958	-0.606218	
0.740000	-0.007893	-0.328394	-0.480101	
0.750000	-0.011198	-0.332543	-0.348960	
0.760000	-0.014539	-0.335358	-0.213335	
0.770000	-0.017901	-0.336797	-0.073795	
0.780000	-0.021270	-0.336823	0.069063	
0.790000	-0.024633	-0.335407	0.214618	
0.800000	-0.027974	-0.332524	0.362226	
0.810000	-0.031278	-0.328157	0.511224	
0.820000	-0.034532	-0.322297	0.660935	
0.830000	-0.037719	-0.314939	0.810667	
0.840000	-0.040826	-0.306086	0.959718	
0.850000	-0.043836	-0.295749	1.107380	
0.860000	-0.046736	-0.283945	1.252942	
0.870000	-0.049510	-0.270699	1.395694	
0.880000	-0.052145	-0.256043	1.534927	
0.890000	-0.054626	-0.240015	1.669942	
0.900000	-0.056941	-0.222661	1.800048	
0.910000	-0.059075	-0.204033	1.924569	
0.920000	-0.061017	-0.184190	2.042845	
0.930000	-0.062755	-0.163199	2.154239	
0.940000	-0.064278	-0.141130	2.258134	
0.950000	-0.065575	-0.118063	2.353942	
0.960000	-0.066636	-0.094080	2.441105	
0.970000	-0.067453	-0.069271	2.519095	
0.980000	-0.068019	-0.043731	2.587424	
0.990000	-0.068326	-0.017557	2.645638	
1.000000	-0.068368	0.009147	2.693325	
1.010000	-0.068142	0.036273	2.730118	
1.020000	-0.067642	0.063712	2.755693	
