nombre de la estacion:  alta
Pais: eu
Ciudad o Estado: alta
Fecha: 2
Delta t: 0.005
Valor maximo de aceleracion de suelo: 316.307
id	Des	Vel.	Acel. Total.
0.100	0.204	10.771	807.811
0.200	0.412	12.223	407.139
0.400	2.011	33.205	498.967
0.600	1.344	21.824	149.210
0.800	1.105	14.808	68.885
1.000	0.916	13.450	37.121
1.200	0.833	12.605	24.344
1.400	0.833	11.972	18.246
1.600	0.831	11.516	14.242
1.800	0.829	11.184	11.474
2.000	0.828	10.937	9.479
2.200	0.826	10.750	8.007
2.400	0.825	10.606	6.883
2.600	0.825	10.491	6.000
2.800	0.824	10.400	5.291
3.000	0.825	10.325	4.712
3.200	0.825	10.264	4.234
3.400	0.826	10.213	3.832
3.600	0.826	10.169	3.491
3.800	0.826	10.132	3.202
4.000	0.827	10.101	2.955
