nombre de la estacion:  alpi
Pais: mx
Ciudad o Estado: mx
Fecha: 01-12-2022
Delta t: 0.005
Valor maximo de aceleracion de suelo: 549
id	Den	Vel.	Acel.	Acel. Total.
0.100000	0.326037	16.368642	852.537824	1292.537824
0.200000	2.021356	56.400238	1751.368128	2005.251470
0.300000	2.390460	57.873617	1496.288965	1056.288965
0.400000	4.346583	68.671156	1469.457809	1077.821888
0.500000	6.595234	82.026482	1403.694289	1047.678122
0.600000	6.341089	68.203871	1169.789267	698.895004
0.700000	6.316089	61.674416	886.244500	511.672505
0.800000	7.851316	66.508434	722.563160	487.150721
0.900000	7.548815	57.882176	665.580353	369.680647
1.000000	6.644879	46.564643	628.215664	263.614404
1.100000	5.629722	46.718563	602.357914	186.598210
1.200000	5.700825	46.787146	578.620995	158.967557
1.300000	5.550371	46.276549	558.649686	132.074308
1.400000	7.287422	45.483345	543.120137	147.883531
1.500000	9.622969	44.539455	530.532920	169.551187
1.600000	9.481831	43.325937	527.195234	147.382757
1.700000	8.707344	41.789693	525.904630	120.068087
1.800000	7.186153	40.515470	523.562729	88.596434
1.900000	6.679877	39.451825	529.564315	75.324649
2.000000	7.436288	38.225775	538.037079	73.841264
2.100000	8.234385	37.007705	544.720135	73.989257
2.200000	8.247371	35.895513	549.866295	67.582115
2.300000	7.653667	34.922540	553.841595	58.278042
2.400000	7.714518	34.078670	556.995181	55.117385
2.500000	8.040058	33.331602	559.600332	52.439629
2.600000	9.275425	32.642752	561.843022	54.721428
2.700000	10.377667	31.976921	563.834470	56.280920
2.800000	11.933146	34.762052	565.631632	60.556805
2.900000	13.002306	37.383093	567.257016	61.675577
3.000000	13.429625	38.503467	568.714339	59.377431
3.100000	14.822198	37.904447	569.999380	61.192389
3.200000	16.604133	37.322323	571.106672	64.492410
3.300000	17.362019	37.563259	572.033100	63.339935
3.400000	17.258863	37.366159	572.779399	59.299891
3.500000	17.057548	36.736961	573.350367	55.174320
3.600000	16.935488	36.823269	573.754387	51.867089
3.700000	16.124805	36.967653	574.002633	46.903057
3.800000	16.768208	37.602998	574.108201	46.427024
3.900000	17.622471	38.133742	574.085307	46.344954
4.000000	18.343331	38.345974	573.948597	45.912264
