nombre de la estacion:  Alpi
Pais: mexico
Ciudad o Estado: toluca
Fecha: 19-09-2022
Delta t: 0.005
Valor maximo de aceleracion de suelo: 549
id	Den	Vel.	Acel.	Acel. Total.
0.100000	0.326000	16.369000	852.538000	1292.538000
0.200000	2.021000	56.400000	1751.368000	2005.251000
0.300000	2.390000	57.874000	1496.289000	1056.289000
0.400000	4.347000	68.671000	1469.458000	1077.822000
0.500000	6.595000	82.026000	1403.694000	1047.678000
0.600000	6.341000	68.204000	1169.789000	698.895000
0.700000	6.316000	61.674000	886.245000	511.673000
0.800000	7.851000	66.508000	722.563000	487.151000
0.900000	7.549000	57.882000	665.580000	369.681000
1.000000	6.645000	46.565000	628.216000	263.614000
1.100000	5.630000	46.719000	602.358000	186.598000
1.200000	5.701000	46.787000	578.621000	158.968000
1.300000	5.550000	46.277000	558.650000	132.074000
1.400000	7.287000	45.483000	543.120000	147.884000
1.500000	9.623000	44.539000	530.533000	169.551000
1.600000	9.482000	43.326000	527.195000	147.383000
1.700000	8.707000	41.790000	525.905000	120.068000
1.800000	7.186000	40.515000	523.563000	88.596000
1.900000	6.680000	39.452000	529.564000	75.325000
2.000000	7.436000	38.226000	538.037000	73.841000
2.100000	8.234000	37.008000	544.720000	73.989000
2.200000	8.247000	35.896000	549.866000	67.582000
2.300000	7.654000	34.923000	553.842000	58.278000
2.400000	7.715000	34.079000	556.995000	55.117000
2.500000	8.040000	33.332000	559.600000	52.440000
2.600000	9.275000	32.643000	561.843000	54.721000
2.700000	10.378000	31.977000	563.834000	56.281000
2.800000	11.933000	34.762000	565.632000	60.557000
2.900000	13.002000	37.383000	567.257000	61.676000
3.000000	13.430000	38.503000	568.714000	59.377000
3.100000	14.822000	37.904000	569.999000	61.192000
3.200000	16.604000	37.322000	571.107000	64.492000
3.300000	17.362000	37.563000	572.033000	63.340000
3.400000	17.259000	37.366000	572.779000	59.300000
3.500000	17.058000	36.737000	573.350000	55.174000
3.600000	16.935000	36.823000	573.754000	51.867000
3.700000	16.125000	36.968000	574.003000	46.903000
3.800000	16.768000	37.603000	574.108000	46.427000
3.900000	17.622000	38.134000	574.085000	46.345000
4.000000	18.343000	38.346000	573.949000	45.912000
