nombre de la estacion:  COLM
Pais: Mexico
Ciudad o Estado: Toluca
Fecha: 19-09-2022
Delta t: 0.005
Valor maximo de aceleracion de suelo: 549
id	Den	Vel.	Acel.	Acel. Total.
0.100	0.326	16.369	852.538	1292.538
0.200	2.021	56.400	1751.368	2005.251
0.300	2.390	57.874	1496.289	1056.289
0.400	4.347	68.671	1469.458	1077.822
0.500	6.595	82.026	1403.694	1047.678
0.600	6.341	68.204	1169.789	698.895
0.700	6.316	61.674	886.245	511.673
0.800	7.851	66.508	722.563	487.151
0.900	7.549	57.882	665.580	369.681
1.000	6.645	46.565	628.216	263.614
1.100	5.630	46.719	602.358	186.598
1.200	5.701	46.787	578.621	158.968
1.300	5.550	46.277	558.650	132.074
1.400	7.287	45.483	543.120	147.884
1.500	9.623	44.539	530.533	169.551
1.600	9.482	43.326	527.195	147.383
1.700	8.707	41.790	525.905	120.068
1.800	7.186	40.515	523.563	88.596
1.900	6.680	39.452	529.564	75.325
2.000	7.436	38.226	538.037	73.841
2.100	8.234	37.008	544.720	73.989
2.200	8.247	35.896	549.866	67.582
2.300	7.654	34.923	553.842	58.278
2.400	7.715	34.079	556.995	55.117
2.500	8.040	33.332	559.600	52.440
2.600	9.275	32.643	561.843	54.721
2.700	10.378	31.977	563.834	56.281
2.800	11.933	34.762	565.632	60.557
2.900	13.002	37.383	567.257	61.676
3.000	13.430	38.503	568.714	59.377
3.100	14.822	37.904	569.999	61.192
3.200	16.604	37.322	571.107	64.492
3.300	17.362	37.563	572.033	63.340
3.400	17.259	37.366	572.779	59.300
3.500	17.058	36.737	573.350	55.174
3.600	16.935	36.823	573.754	51.867
3.700	16.125	36.968	574.003	46.903
3.800	16.768	37.603	574.108	46.427
3.900	17.622	38.134	574.085	46.345
4.000	18.343	38.346	573.949	45.912
